layer,course,topic-id,topic-number,topic-name
50,MF3,1159,10.1.4,Calculating Definite Integrals Using Substitution
51,MF3,316,10.1.5,Further Integration of Algebraic Functions Using Substitution
51,MF3,1112,10.1.6,Integrating Exponential Functions Using Linear Substitution
52,MF3,3770,10.1.7,Integrating Exponential Functions Using Substitution
51,MF3,478,10.1.8,Integrating Trigonometric Functions Using Substitution
51,MF3,1161,10.1.9,Integrating Logarithmic Functions Using Substitution
51,MF3,315,10.1.10,Integration by Substitution With Inverse Trigonometric Functions
52,MF3,282,10.2.1,Integration Using Basic Trigonometric Identities
53,MF3,1037,10.2.2,Integration Using the Pythagorean Identities
54,MF3,1038,10.2.3,Integration Using the Double-Angle Formulas
51,MF3,338,10.3.1,Integrating Functions Using Polynomial Division
52,MF3,444,10.3.2,Integrating Functions by Completing the Square
53,MF3,317,10.4.1,Introduction to Integration by Parts
54,MF3,1140,10.4.2,Using Integration by Parts to Calculate Integrals With Logarithms
55,MF3,416,10.4.3,Applying the Integration By Parts Twice
56,MF3,424,10.4.4,Integration by Parts in Cyclic Cases
50,MF3,1060,10.5.1,Expressing Rational Functions as Sums of Partial Fractions
51,MF3,1062,10.5.2,Expressing Rational Functions with Repeated Factors as Sums of Partial Fractions
51,MF3,1063,10.5.3,Expressing Rational Functions with Irreducible Quadratic Factors as Sums of Partial Fractions
51,MF3,445,10.5.4,Integrating Rational Functions Using Partial Fractions
52,MF3,446,10.5.5,Integrating Rational Functions with Repeated Factors
52,MF3,447,10.5.6,Integrating Rational Functions with Irreducible Quadratic Factors
51,MF3,758,10.6.1,Improper Integrals
53,MF3,4004,10.6.2,Improper Integrals Involving Exponential Functions
52,MF3,4005,10.6.3,Improper Integrals Involving Arctangent
54,MF3,1382,10.6.4,Improper Integrals Over the Real Line
53,MF3,759,10.6.5,Improper Integrals of the Second Kind
45,MF3,284,11.1.1,Calculating Velocity for Straight-Line Motion Using Differentiation
46,MF3,824,11.1.2,Calculating Acceleration for Straight-Line Motion Using Differentiation
47,MF3,3581,11.1.3,Determining Characteristics of Moving Objects Using Differentiation
53,MF3,762,11.1.4,Calculating Velocity Using Integration
54,MF3,3582,11.1.5,Determining Characteristics of Moving Objects Using Integration
54,MF3,335,11.1.6,Calculating the Position Function of a Particle Using Integration
55,MF3,3576,11.1.7,Calculating the Displacement of a Particle Using Integration
40,MF3,2036,11.2.1,Velocity and Acceleration for Plane Motion
41,MF3,3767,11.2.2,Calculating Displacement for Plane Motion
49,MF3,763,11.2.3,Calculating Velocity for Plane Motion Using Differentiation
50,MF3,825,11.2.4,Calculating Acceleration for Plane Motion Using Differentiation
55,MF3,826,11.2.5,Finding Velocity Vectors in Two Dimensions Using Integration
56,MF3,648,11.2.6,Finding Displacement Vectors in Two Dimensions Using Integration
45,MF3,620,11.3.1,Rates of Change in Applied Contexts
46,MF3,1044,11.3.2,Introduction to Related Rates
47,MF3,4059,11.3.3,Related Rates With Implicit Functions
48,MF3,287,11.3.4,Calculating Related Rates With Circles and Spheres
48,MF3,345,11.3.5,Calculating Related Rates Using the Pythagorean Theorem
54,MF3,1211,11.3.6,Solving Optimization Problems Using Derivatives
55,MF3,1216,11.3.7,Optimizing Distances
56,MF3,4218,11.3.8,Optimizing Distances to Curves
45,MF3,3215,12.1.1,Introduction to Differential Equations
46,MF3,1181,12.1.2,Verifying Solutions of Differential Equations
53,MF3,1061,12.1.3,Solving First-Order ODEs Using Direct Integration
54,MF3,466,12.1.4,Solving First-Order ODEs Using Separation of Variables
55,MF3,1179,12.1.5,Solving First-Order IVPs Using Separation of Variables
54,MF3,2976,12.1.6,Qualitative Analysis of First-Order ODEs
46,MF3,2023,12.1.7,Modeling With First-Order ODEs
55,MF3,602,12.2.1,Euler's Method: Calculating One Step
56,MF3,3668,12.2.2,Euler's Method: Calculating Multiple Steps
38,MF3,1166,13.1.1,Three-Dimensional Vectors in Component Form
39,MF3,175,13.1.2,Addition and Scalar Multiplication of Cartesian Vectors in 3D
40,MF3,1277,13.1.3,Calculating the Magnitude of Cartesian Vectors in 3D
40,MF3,243,13.2.1,Calculating the Dot Product Using Angle and Magnitude
41,MF3,177,13.2.2,Calculating the Dot Product Using Components
42,MF3,1278,13.2.3,The Angle Between Two Vectors
43,MF3,1285,13.2.4,Calculating a Scalar Projection
45,MF3,1295,13.2.5,Calculating a Vector Projection
41,MF3,246,13.3.1,The Cross Product of Two Vectors
44,MF3,4858,13.3.2,Properties of the Cross Product
45,MF3,245,13.3.3,Calculating the Cross Product Using Determinants
46,MF3,1299,13.3.4,Finding Areas Using the Cross Product
46,MF3,1286,13.3.5,The Scalar Triple Product
47,MF3,1287,13.3.6,Volumes of Parallelepipeds
43,MF3,475,13.4.1,Defining Vector-Valued Functions
48,MF3,4139,13.4.2,Differentiating Vector-Valued Functions
53,MF3,1085,13.4.3,Integrating Vector-Valued Functions
17,MF3,861,14.1.1,Introduction to Matrices
31,MF3,1167,14.1.2,Index Notation for Matrices
18,MF3,29,14.1.3,Adding and Subtracting Matrices
19,MF3,1168,14.1.4,Properties of Matrix Addition
32,MF3,146,14.1.5,Scalar Multiplication of Matrices
41,MF3,862,14.1.6,"Zero, Square, Diagonal and Identity Matrices"
41,MF3,232,14.1.7,The Transpose of a Matrix
42,MF3,1195,14.2.1,Multiplying a Matrix by a Column Vector
42,MF3,147,14.2.2,Multiplying Square Matrices
43,MF3,1198,14.2.3,Conformability for Matrix Multiplication
44,MF3,1196,14.2.4,Multiplying Matrices
46,MF3,1725,14.2.5,Powers of Matrices
43,MF3,1171,14.2.6,Multiplying a Matrix by the Identity Matrix
45,MF3,1724,14.2.7,Properties of Matrix Multiplication
44,MF3,1729,14.2.8,Representing 2x2 Systems of Equations Using a Matrix Product
45,MF3,155,14.2.9,Representing 3x3 Systems of Equations Using a Matrix Product
27,MF3,152,14.3.1,The Determinant of a 2x2 Matrix
38,MF3,1169,14.3.2,The Geometric Interpretation of the 2x2 Determinant
32,MF3,233,14.3.3,The Minors of a 3x3 Matrix
44,MF3,153,14.3.4,The Determinant of a 3x3 Matrix
43,MF3,863,14.4.1,Introduction to the Inverse of a Matrix
44,MF3,864,14.4.2,Inverses of 2x2 Matrices
45,MF3,154,14.4.3,Calculating the Inverse of a 3x3 Matrix Using the Cofactor Method
45,MF3,934,14.4.4,Solving 2x2 Systems of Equations Using Inverse Matrices
46,MF3,1023,14.4.5,Solving Systems of Equations Using Inverse Matrices
40,MF3,865,14.5.1,Introduction to Linear Transformations
43,MF3,1959,14.5.2,The Standard Matrix of a Linear Transformation
44,MF3,2706,14.5.3,Linear Transformations of Points and Lines in the Plane
45,MF3,866,14.5.4,Linear Transformations of Objects in the Plane
46,MF3,867,14.5.5,Dilations and Reflections as Linear Transformations
46,MF3,1358,14.5.6,Shear and Stretch as Linear Transformations
46,MF3,931,14.5.7,Right-Angle Rotations as Linear Transformations
47,MF3,932,14.5.8,Rotations as Linear Transformations
48,MF3,933,14.5.9,Combining Linear Transformations Using 2x2 Matrices
46,MF3,988,14.5.10,Inverting Linear Transformations
46,MF3,989,14.5.11,Area Scale Factors of Linear Transformations
47,MF3,1351,14.5.12,Singular Linear Transformations in the Plane
25,MF3,324,15.1.1,Conditional Probabilities From Venn Diagrams
26,MF3,715,15.1.2,The Multiplication Law for Conditional Probability
27,MF3,773,15.1.3,The Law of Total Probability
27,MF3,183,15.1.4,Independent Events
28,MF3,740,15.1.5,The Addition Law of Probability
29,MF3,4315,15.1.6,Applying the Addition Law With Event Complements
30,MF3,1154,15.1.7,Mutually Exclusive Events
31,MF3,1290,15.2.1,Probability Mass Functions of Discrete Random Variables
32,MF3,2024,15.2.2,Cumulative Distribution Functions for Discrete Random Variables
32,MF3,730,15.2.3,Expected Values of Discrete Random Variables
32,MF3,3281,15.2.4,The Binomial Distribution
33,MF3,1395,15.2.5,Modeling With the Binomial Distribution
32,MF3,3284,15.2.6,The Geometric Distribution
33,MF3,2839,15.2.7,Modeling With the Geometric Distribution
33,MF3,265,15.3.1,The Standard Normal Distribution
34,MF3,4420,15.3.2,Symmetry Properties of the Standard Normal Distribution
35,MF3,1843,15.3.3,The Normal Distribution
36,MF3,1470,15.3.4,Mean and Variance of the Normal Distribution
35,MF3,3214,15.3.5,Percentage Points of the Standard Normal Distribution
37,MF3,788,15.3.6,Modeling With the Normal Distribution
