layer,course,topic-id,topic-number,topic-name
31,MF2,1150,4.2.5,Vertical Reflections of Functions
29,MF2,1585,4.2.6,Horizontal Reflections of Functions
32,MF2,1254,4.2.7,Combining Graph Transformations: Two Operations
33,MF2,634,4.2.8,Combining Graph Transformations: Three or More Operations
34,MF2,3845,4.2.9,Constructing Functions Using Transformations
34,MF2,2841,4.2.10,Combining Reflections With Other Graph Transformations
35,MF2,141,4.2.11,Finding Points on Transformed Curves
36,MF2,3683,4.2.12,The Domain and Range of Transformed Functions
19,MF2,379,5.1.1,Converting From Exponential to Logarithmic Form
20,MF2,457,5.1.2,Converting From Logarithmic to Exponential Form
27,MF2,378,5.1.3,Evaluating Logarithms
28,MF2,818,5.1.4,The Natural Logarithm
28,MF2,726,5.1.5,The Common Logarithm
29,MF2,1599,5.1.6,Simplifying Logarithmic Expressions
30,MF2,1473,5.2.1,The Product Rule for Logarithms
31,MF2,1474,5.2.2,The Quotient Rule for Logarithms
30,MF2,1475,5.2.3,The Power Rule for Logarithms
32,MF2,30,5.2.4,Combining the Laws of Logarithms
29,MF2,28,5.2.5,The Change of Base Formula for Logarithms
