done,sequence,topic-id,topic-name,course-code,topic-code,topic-number,unit,module,layer,min-steps-to-334,max-steps-to-334,direct-prerequisite-ids
0,40,2396,Creating and Interpreting Whole Number Expressions,5GM,5GM.1.1.3,1.1.3,1. The Number System,1.1. Whole Number Expressions,4,16,22,2398
0,41,2441,Factoring Numerical Expressions,PAL,PAL.4.2.9,4.2.9,4. Algebraic Expressions,4.2. Simplifying Linear Expressions,4,11,16,2398;2439
0,42,3954,Equivalent Place Value Representations and Borrowing,4GM,4GM.2.1.9,2.1.9,2. The Number System,2.1. Place Value,5,17,46,3941
0,43,3910,Adding Three-Digit and Two-Digit Numbers,4GM,4GM.3.1.2,3.1.2,3. Addition & Subtraction,3.1. Adding Whole Numbers,5,15,52,3875
0,44,3587,"Multiplying by 10, 100, and 1,000 Using Place Value",4GM,4GM.4.2.1,4.2.1,4. Multiplication,4.2. Multiplying Whole Numbers,5,13,49,3941
0,45,2409,Interpreting Fractions as Division,4GM,4GM.6.1.5,6.1.5,6. Fractions & Decimals,6.1. Fractions,5,13,41,2364;2390
0,46,2370,Adding Fractions With Like Denominators Using Models,4GM,4GM.6.5.1,6.5.1,6. Fractions & Decimals,6.5. Adding Fractions,5,14,39,2364
0,47,552,Writing Ratios Using Fractions,PAL,PAL.1.1.3,1.1.3,1. Ratios & Percentages,1.1. Ratios,5,11,22,553;2364
0,48,3911,Adding Three-Digit Numbers,4GM,4GM.3.1.3,3.1.3,3. Addition & Subtraction,3.1. Adding Whole Numbers,6,16,51,3910
0,49,3876,Subtracting Two-Digit Numbers,4GM,4GM.3.2.1,3.2.1,3. Addition & Subtraction,3.2. Subtracting Whole Numbers,6,16,45,3954
0,50,2338,"Multiplying by 10, 100, and 1,000 Using the Pattern of Zeros",4GM,4GM.4.2.2,4.2.2,4. Multiplication,4.2. Multiplying Whole Numbers,6,12,48,3587
0,51,564,Multiplying Unit Fractions by Whole Numbers Using Models,4GM,4GM.6.7.1,6.7.1,6. Fractions & Decimals,6.7. Multiplying Fractions,6,13,38,122;2370
0,52,543,Adding Fractions and Whole Numbers Using Models,5GM,5GM.3.1.1,3.1.1,3. Adding & Subtracting Fractions,3.1. Adding and Subtracting Fractions and Whole Numbers,6,16,38,2370;3893
0,53,2313,Comparing Place Values,4GM,4GM.2.2.1,2.2.1,2. The Number System,2.2. Comparing Whole Numbers,7,14,42,2338;3874
0,54,3912,Adding Numbers Up to Five Digits,4GM,4GM.3.1.4,3.1.4,3. Addition & Subtraction,3.1. Adding Whole Numbers,7,15,50,3911
0,55,3906,Subtracting Two-Digit Numbers From Three-Digit Numbers,4GM,4GM.3.2.2,3.2.2,3. Addition & Subtraction,3.2. Subtracting Whole Numbers,7,16,44,3876
0,56,3924,Rewriting Numbers Ending in Zeros,4GM,4GM.4.2.3,4.2.3,4. Multiplication,4.2. Multiplying Whole Numbers,7,16,44,2338
0,57,488,Multiplying Whole Numbers Ending in Zeros,4GM,4GM.4.2.4,4.2.4,4. Multiplication,4.2. Multiplying Whole Numbers,7,15,47,2338
0,58,3882,"Dividing by 10, 100, and 1,000 Using the Pattern of Zeros",4GM,4GM.5.1.7,5.1.7,5. Division,5.1. Dividing Whole Numbers,7,13,38,2338;3877
