classification,category-sequence,union-sequence,topic-id,topic-name,course-code,topic-code,topic-number,unit,module,course-map-index,layer,prerequisite-for-target-ids,steps-to-targets,direct-prerequisite-ids,direct-included-prerequisite-ids,completed-at,equivalent-evidence-kinds,equivalent-evidence-distance,equivalent-evidence-topic-ids,equivalent-evidence-topic-names
equivalent,36,36,643,Identifying Terms in Linear Expressions,PAL,PAL.4.1.5,4.1.5,4. Algebraic Expressions,4.1. Algebraic Expressions,,2,334;331;443;1159,334:13;331:11;443:12;1159:8,3721,3721,,activity-history;activity-history;activity-history,4,355;437;1583,Splitting Rational Expressions Into Separate Terms;Adding and Subtracting Rational Expressions;Solving Exponential Equations With Different Bases
equivalent,37,37,840,Prime and Composite Numbers,PAL,PAL.2.3.4,2.3.4,2. The Number System,2.3. Number Theory,,2,334;331;443;1159,334:14;331:15;443:16;1159:13,3942,3942,,activity-history,6,1583,Solving Exponential Equations With Different Bases
equivalent,38,38,2363,Equivalent Fractions,4GM,4GM.6.3.2,6.3.2,6. Fractions & Decimals,6.3. Equivalent Fractions,,3,334;331;443;1159,334:13;331:11;443:12;1159:12,2367;2368;3942,2367;2368;3942,,activity-history,5,336,The Average Rate of Change of a Function
equivalent,39,39,3893,Models for Mixed Numbers,4GM,4GM.6.2.2,6.2.2,6. Fractions & Decimals,6.2. Improper Fractions and Mixed Numbers,,3,334;331;443;1159,334:13;331:8;443:9;1159:10,2367,2367,,activity-history;activity-history,4,425;485,The Discriminant of a Quadratic Equation;Midpoints in the Coordinate Plane
equivalent,40,40,3919,Comparing Whole Numbers Using Place Value,4GM,4GM.2.2.3,2.2.3,2. The Number System,2.2. Comparing Whole Numbers,,3,334;331;443;1159,334:12;331:9;443:10;1159:11,2324,2324,,activity-history,5,726,The Common Logarithm
equivalent,41,41,3921,Equivalent Place Value Representations,4GM,4GM.2.1.7,2.1.7,2. The Number System,2.1. Place Value,,3,334;331;443;1159,334:15;331:13;443:14;1159:14,2320,2320,,activity-history;activity-history;activity-history;activity-history;queue-checkmark;activity-history,8,73;131;167;459;1589;1753,Fibonacci Sequences;Compound Events in Probability From Experimental Data;Negative Angles in the Coordinate Plane;The Distance Formula;Distance-Time Graphs;Volumes of Rectangular Solids
equivalent,42,42,2398,Evaluating Whole Number Expressions With Parentheses,5GM,5GM.1.1.2,1.1.2,1. The Number System,1.1. Whole Number Expressions,,3,334;331;443;1159,334:12;331:9;443:10;1159:10,2397,2397,,activity-history,2,161,The Rules of Sum and Product
equivalent,43,43,2364,Writing Fractions in Lowest Terms,4GM,4GM.6.3.4,6.3.4,6. Fractions & Decimals,6.3. Equivalent Fractions,,4,334;331;443;1159,334:12;331:10;443:11;1159:12,2363;2439,2363;2439,,activity-history,4,336,The Average Rate of Change of a Function
equivalent,44,44,3875,Adding Two-Digit Whole Numbers,4GM,4GM.3.1.1,3.1.1,3. Addition & Subtraction,3.1. Adding Whole Numbers,,4,334;331;443;1159,334:16;331:12;443:13;1159:14,3921,3921,,activity-history;activity-history;queue-checkmark;activity-history,7,73;459;1589;1753,Fibonacci Sequences;The Distance Formula;Distance-Time Graphs;Volumes of Rectangular Solids
equivalent,45,45,3941,More on Equivalent Place Value Representations,4GM,4GM.2.1.8,2.1.8,2. The Number System,2.1. Place Value,,4,334;331;443;1159,334:14;331:12;443:13;1159:13,3921,3921,,activity-history;activity-history,7,131;167,Compound Events in Probability From Experimental Data;Negative Angles in the Coordinate Plane
