module-id,module-code,module-name
112329,PCL.4.6,Trigonometric Equations Containing Transformed Functions
112330,PCL.4.7,Advanced Trigonometric Equations
112331,PCL.5.1,Introduction to Vectors
112332,PCL.5.2,Vectors in 2D Cartesian Coordinates
112333,PCL.5.3,Vectors in 3D Cartesian Coordinates
112334,PCL.5.4,The Dot Product
112335,PCL.5.5,The Cross Product
112336,PCL.6.1,Introduction to Matrices
112337,PCL.6.2,Matrix Multiplication
112338,PCL.6.3,Determinants
112339,PCL.6.4,The Inverse of a Matrix
112340,PCL.6.5,Linear Transformations
112341,PCL.7.1,Ellipses as Conic Sections
112342,PCL.7.2,Hyperbolas as Conic Sections
112343,PCL.8.1,Parametric Equations
112344,PCL.9.1,Polar Coordinates
112345,PCL.10.1,The Complex Plane
112346,PCL.10.2,Further Complex Numbers
112347,PCL.10.3,Complex Numbers in Polar Form
112348,PCL.10.4,De Moivre's Theorem
112349,PCL.10.5,The Fundamental Theorem of Algebra
112350,PCL.11.1,Introduction to Probability
112351,PCL.11.2,Compound Events in Probability
112352,PCL.11.3,Conditional Probability
112353,PCL.11.4,Discrete Random Variables
112354,PCL.11.5,The Normal Distribution
112355,PCL.11.6,Combinatorics
112356,PCL.12.1,Analyzing Data
112357,PCL.12.2,Correlation
112358,PCL.12.3,Regression
123020,HI1.1.1,Linear Equations
123021,HI1.1.2,Modeling With Linear Equations
123022,HI1.1.3,Linear Inequalities
123023,HI1.1.4,Nonlinear Equations
123024,HI1.2.1,Graphs of Linear Equations
123025,HI1.2.2,Modeling With Two-Variable Linear Equations
123026,HI1.2.3,Systems of Equations
123027,HI1.2.4,Two-Variable Linear Inequalities
123028,HI1.3.1,Working With Units
123029,HI1.3.2,Direct and Inverse Variation
123030,HI1.4.1,Radical Expressions
123031,HI1.4.2,Rational Expressions
123032,HI1.4.3,Rational Equations
123033,HI1.5.1,Functions
123034,HI1.6.1,"Absolute Value Expressions, Equations & Inequalities"
123035,HI1.7.1,Rules of Exponents
123036,HI1.7.2,Exponential Expressions and Equations
123037,HI1.7.3,Exponential Functions
123038,HI1.8.1,Polynomials
