topic-id,topic-code,topic-number,topic-name,unit,module,lesson-path,source-path,layer,nearest-integer-layer,course-map-index
1986,CAB.1.3.5,1.3.5,Limits of Radical Functions,1. Limits and Continuity,1.3. Limits of Functions,1. Limits and Continuity/1.3. Limits of Functions/Lessons/1.3.5. Limits of Radical Functions.md,1. Limits and Continuity/1.3. Limits of Functions/Source/1.3.5. Limits of Radical Functions,50,50,14
1719,CAB.1.3.6,1.3.6,Limits of Trigonometric Functions,1. Limits and Continuity,1.3. Limits of Functions,1. Limits and Continuity/1.3. Limits of Functions/Lessons/1.3.6. Limits of Trigonometric Functions.md,1. Limits and Continuity/1.3. Limits of Functions/Source/1.3.6. Limits of Trigonometric Functions,58,58,15
1958,CAB.1.3.7,1.3.7,Limits of Reciprocal Trigonometric Functions,1. Limits and Continuity,1.3. Limits of Functions,1. Limits and Continuity/1.3. Limits of Functions/Lessons/1.3.7. Limits of Reciprocal Trigonometric Functions.md,1. Limits and Continuity/1.3. Limits of Functions/Source/1.3.7. Limits of Reciprocal Trigonometric Functions,59,59,16
1262,CAB.1.3.8,1.3.8,Limits of Piecewise Functions,1. Limits and Continuity,1.3. Limits of Functions,1. Limits and Continuity/1.3. Limits of Functions/Lessons/1.3.8. Limits of Piecewise Functions.md,1. Limits and Continuity/1.3. Limits of Functions/Source/1.3.8. Limits of Piecewise Functions,60,60,17
1813,CAB.1.4.1,1.4.1,Calculating Limits of Rational Functions by Factoring,1. Limits and Continuity,1.4. Determining Limits Using Algebraic Manipulation,1. Limits and Continuity/1.4. Determining Limits Using Algebraic Manipulation/Lessons/1.4.1. Calculating Limits of Rational Functions by Factoring.md,1. Limits and Continuity/1.4. Determining Limits Using Algebraic Manipulation/Source/1.4.1. Calculating Limits of Rational Functions by Factoring,49,49,18
605,CAB.1.4.2,1.4.2,Limits of Absolute Value Functions,1. Limits and Continuity,1.4. Determining Limits Using Algebraic Manipulation,1. Limits and Continuity/1.4. Determining Limits Using Algebraic Manipulation/Lessons/1.4.2. Limits of Absolute Value Functions.md,1. Limits and Continuity/1.4. Determining Limits Using Algebraic Manipulation/Source/1.4.2. Limits of Absolute Value Functions,61,61,19
604,CAB.1.4.3,1.4.3,Calculating Limits of Radical Functions Using Conjugate Multiplication,1. Limits and Continuity,1.4. Determining Limits Using Algebraic Manipulation,1. Limits and Continuity/1.4. Determining Limits Using Algebraic Manipulation/Lessons/1.4.3. Calculating Limits of Radical Functions Using Conjugate Multiplication.md,1. Limits and Continuity/1.4. Determining Limits Using Algebraic Manipulation/Source/1.4.3. Calculating Limits of Radical Functions Using Conjugate Multiplication,50,50,20
107,CAB.1.4.4,1.4.4,Calculating Limits Using Trigonometric Identities,1. Limits and Continuity,1.4. Determining Limits Using Algebraic Manipulation,1. Limits and Continuity/1.4. Determining Limits Using Algebraic Manipulation/Lessons/1.4.4. Calculating Limits Using Trigonometric Identities.md,1. Limits and Continuity/1.4. Determining Limits Using Algebraic Manipulation/Source/1.4.4. Calculating Limits Using Trigonometric Identities,60,60,21
1903,CAB.1.4.5,1.4.5,Limits at Infinity and Horizontal Asymptotes of Rational Functions,1. Limits and Continuity,1.4. Determining Limits Using Algebraic Manipulation,1. Limits and Continuity/1.4. Determining Limits Using Algebraic Manipulation/Lessons/1.4.5. Limits at Infinity and Horizontal Asymptotes of Rational Functions.md,1. Limits and Continuity/1.4. Determining Limits Using Algebraic Manipulation/Source/1.4.5. Limits at Infinity and Horizontal Asymptotes of Rational Functions,55,55,22
607,CAB.1.4.6,1.4.6,Evaluating Limits at Infinity by Comparing Relative Magnitudes of Functions,1. Limits and Continuity,1.4. Determining Limits Using Algebraic Manipulation,1. Limits and Continuity/1.4. Determining Limits Using Algebraic Manipulation/Lessons/1.4.6. Evaluating Limits at Infinity by Comparing Relative Magnitudes of Functions.md,1. Limits and Continuity/1.4. Determining Limits Using Algebraic Manipulation/Source/1.4.6. Evaluating Limits at Infinity by Comparing Relative Magnitudes of Functions,59,59,23
616,CAB.1.4.7,1.4.7,Evaluating Limits at Infinity of Radical Functions,1. Limits and Continuity,1.4. Determining Limits Using Algebraic Manipulation,1. Limits and Continuity/1.4. Determining Limits Using Algebraic Manipulation/Lessons/1.4.7. Evaluating Limits at Infinity of Radical Functions.md,1. Limits and Continuity/1.4. Determining Limits Using Algebraic Manipulation/Source/1.4.7. Evaluating Limits at Infinity of Radical Functions,56,56,24
1815,CAB.1.4.8,1.4.8,Vertical Asymptotes of Rational Functions,1. Limits and Continuity,1.4. Determining Limits Using Algebraic Manipulation,1. Limits and Continuity/1.4. Determining Limits Using Algebraic Manipulation/Lessons/1.4.8. Vertical Asymptotes of Rational Functions.md,1. Limits and Continuity/1.4. Determining Limits Using Algebraic Manipulation/Source/1.4.8. Vertical Asymptotes of Rational Functions,49,49,25
1384,CAB.1.4.9,1.4.9,Connecting Infinite Limits and Vertical Asymptotes of Rational Functions,1. Limits and Continuity,1.4. Determining Limits Using Algebraic Manipulation,1. Limits and Continuity/1.4. Determining Limits Using Algebraic Manipulation/Lessons/1.4.9. Connecting Infinite Limits and Vertical Asymptotes of Rational Functions.md,1. Limits and Continuity/1.4. Determining Limits Using Algebraic Manipulation/Source/1.4.9. Connecting Infinite Limits and Vertical Asymptotes of Rational Functions,55,55,26
473,CAB.1.5.1,1.5.1,The Squeeze Theorem,1. Limits and Continuity,1.5. Special Limits,1. Limits and Continuity/1.5. Special Limits/Lessons/1.5.1. The Squeeze Theorem.md,1. Limits and Continuity/1.5. Special Limits/Source/1.5.1. The Squeeze Theorem,62,62,27
606,CAB.1.5.2,1.5.2,Special Limits Involving Sine,1. Limits and Continuity,1.5. Special Limits,1. Limits and Continuity/1.5. Special Limits/Lessons/1.5.2. Special Limits Involving Sine.md,1. Limits and Continuity/1.5. Special Limits/Source/1.5.2. Special Limits Involving Sine,60,60,28
3678,CAB.1.5.3,1.5.3,Evaluating Special Limits Involving Sine Using a Substitution,1. Limits and Continuity,1.5. Special Limits,1. Limits and Continuity/1.5. Special Limits/Lessons/1.5.3. Evaluating Special Limits Involving Sine Using a Substitution.md,1. Limits and Continuity/1.5. Special Limits/Source/1.5.3. Evaluating Special Limits Involving Sine Using a Substitution,61,61,29
292,CAB.1.5.4,1.5.4,Special Limits Involving Cosine,1. Limits and Continuity,1.5. Special Limits,1. Limits and Continuity/1.5. Special Limits/Lessons/1.5.4. Special Limits Involving Cosine.md,1. Limits and Continuity/1.5. Special Limits/Source/1.5.4. Special Limits Involving Cosine,62,62,30
462,CAB.1.6.1,1.6.1,Determining Continuity from Graphs,1. Limits and Continuity,1.6. Continuity,1. Limits and Continuity/1.6. Continuity/Lessons/1.6.1. Determining Continuity from Graphs.md,1. Limits and Continuity/1.6. Continuity/Source/1.6.1. Determining Continuity from Graphs,47,47,31
314,CAB.1.6.2,1.6.2,Defining Continuity at a Point,1. Limits and Continuity,1.6. Continuity,1. Limits and Continuity/1.6. Continuity/Lessons/1.6.2. Defining Continuity at a Point.md,1. Limits and Continuity/1.6. Continuity/Source/1.6.2. Defining Continuity at a Point,61,61,32
474,CAB.1.6.3,1.6.3,Left and Right Continuity,1. Limits and Continuity,1.6. Continuity,1. Limits and Continuity/1.6. Continuity/Lessons/1.6.3. Left and Right Continuity.md,1. Limits and Continuity/1.6. Continuity/Source/1.6.3. Left and Right Continuity,62,62,33
3831,CAB.1.6.4,1.6.4,Further Continuity of Piecewise Functions,1. Limits and Continuity,1.6. Continuity,1. Limits and Continuity/1.6. Continuity/Lessons/1.6.4. Further Continuity of Piecewise Functions.md,1. Limits and Continuity/1.6. Continuity/Source/1.6.4. Further Continuity of Piecewise Functions,63,63,34
2002,CAB.1.6.5,1.6.5,Point Discontinuities,1. Limits and Continuity,1.6. Continuity,1. Limits and Continuity/1.6. Continuity/Lessons/1.6.5. Point Discontinuities.md,1. Limits and Continuity/1.6. Continuity/Source/1.6.5. Point Discontinuities,62,62,35
2003,CAB.1.6.6,1.6.6,Jump Discontinuities,1. Limits and Continuity,1.6. Continuity,1. Limits and Continuity/1.6. Continuity/Lessons/1.6.6. Jump Discontinuities.md,1. Limits and Continuity/1.6. Continuity/Source/1.6.6. Jump Discontinuities,62,62,36
2004,CAB.1.6.7,1.6.7,Discontinuities Due to Vertical Asymptotes,1. Limits and Continuity,1.6. Continuity,1. Limits and Continuity/1.6. Continuity/Lessons/1.6.7. Discontinuities Due to Vertical Asymptotes.md,1. Limits and Continuity/1.6. Continuity/Source/1.6.7. Discontinuities Due to Vertical Asymptotes,62,62,37
612,CAB.1.6.8,1.6.8,Continuity Over an Interval,1. Limits and Continuity,1.6. Continuity,1. Limits and Continuity/1.6. Continuity/Lessons/1.6.8. Continuity Over an Interval.md,1. Limits and Continuity/1.6. Continuity/Source/1.6.8. Continuity Over an Interval,63,63,38
2006,CAB.1.6.9,1.6.9,Continuity of Functions,1. Limits and Continuity,1.6. Continuity,1. Limits and Continuity/1.6. Continuity/Lessons/1.6.9. Continuity of Functions.md,1. Limits and Continuity/1.6. Continuity/Source/1.6.9. Continuity of Functions,64,64,39
2150,CAB.1.6.10,1.6.10,The Intermediate Value Theorem,1. Limits and Continuity,1.6. Continuity,1. Limits and Continuity/1.6. Continuity/Lessons/1.6.10. The Intermediate Value Theorem.md,1. Limits and Continuity/1.6. Continuity/Source/1.6.10. The Intermediate Value Theorem,65,65,40
341,CAB.1.7.1,1.7.1,Removing Point Discontinuities,1. Limits and Continuity,1.7. Removing Discontinuities,1. Limits and Continuity/1.7. Removing Discontinuities/Lessons/1.7.1. Removing Point Discontinuities.md,1. Limits and Continuity/1.7. Removing Discontinuities/Source/1.7.1. Removing Point Discontinuities,63,63,41
638,CAB.1.7.2,1.7.2,Removing Jump Discontinuities,1. Limits and Continuity,1.7. Removing Discontinuities,1. Limits and Continuity/1.7. Removing Discontinuities/Lessons/1.7.2. Removing Jump Discontinuities.md,1. Limits and Continuity/1.7. Removing Discontinuities/Source/1.7.2. Removing Jump Discontinuities,64,64,42
1225,CAB.1.7.3,1.7.3,Removing Discontinuities From Rational Functions,1. Limits and Continuity,1.7. Removing Discontinuities,1. Limits and Continuity/1.7. Removing Discontinuities/Lessons/1.7.3. Removing Discontinuities From Rational Functions.md,1. Limits and Continuity/1.7. Removing Discontinuities/Source/1.7.3. Removing Discontinuities From Rational Functions,65,65,43
1208,CAB.2.1.1,2.1.1,The Average Rate of Change of a Function over a Varying Interval,2. Differentiation- Definition and Fundamental Properties,2.1. Introduction to Differentiation,2. Differentiation- Definition and Fundamental Properties/2.1. Introduction to Differentiation/Lessons/2.1.1. The Average Rate of Change of a Function over a Varying Interval.md,2. Differentiation- Definition and Fundamental Properties/2.1. Introduction to Differentiation/Source/2.1.1. The Average Rate of Change of a Function over a Varying Interval,45,45,44
337,CAB.2.1.2,2.1.2,The Instantaneous Rate of Change of a Function at a Point,2. Differentiation- Definition and Fundamental Properties,2.1. Introduction to Differentiation,2. Differentiation- Definition and Fundamental Properties/2.1. Introduction to Differentiation/Lessons/2.1.2. The Instantaneous Rate of Change of a Function at a Point.md,2. Differentiation- Definition and Fundamental Properties/2.1. Introduction to Differentiation/Source/2.1.2. The Instantaneous Rate of Change of a Function at a Point,50,50,45
812,CAB.2.1.3,2.1.3,Defining the Derivative Using Derivative Notation,2. Differentiation- Definition and Fundamental Properties,2.1. Introduction to Differentiation,2. Differentiation- Definition and Fundamental Properties/2.1. Introduction to Differentiation/Lessons/2.1.3. Defining the Derivative Using Derivative Notation.md,2. Differentiation- Definition and Fundamental Properties/2.1. Introduction to Differentiation/Source/2.1.3. Defining the Derivative Using Derivative Notation,51,51,46
1691,CAB.2.1.4,2.1.4,Continuity and Differentiability of Functions,2. Differentiation- Definition and Fundamental Properties,2.1. Introduction to Differentiation,2. Differentiation- Definition and Fundamental Properties/2.1. Introduction to Differentiation/Lessons/2.1.4. Continuity and Differentiability of Functions.md,2. Differentiation- Definition and Fundamental Properties/2.1. Introduction to Differentiation/Source/2.1.4. Continuity and Differentiability of Functions,65,65,47
35,CAB.2.1.5,2.1.5,The Power Rule for Differentiation,2. Differentiation- Definition and Fundamental Properties,2.1. Introduction to Differentiation,2. Differentiation- Definition and Fundamental Properties/2.1. Introduction to Differentiation/Lessons/2.1.5. The Power Rule for Differentiation.md,2. Differentiation- Definition and Fundamental Properties/2.1. Introduction to Differentiation/Source/2.1.5. The Power Rule for Differentiation,52,52,48
278,CAB.2.1.6,2.1.6,The Sum and Constant Multiple Rules for Differentiation,2. Differentiation- Definition and Fundamental Properties,2.1. Introduction to Differentiation,2. Differentiation- Definition and Fundamental Properties/2.1. Introduction to Differentiation/Lessons/2.1.6. The Sum and Constant Multiple Rules for Differentiation.md,2. Differentiation- Definition and Fundamental Properties/2.1. Introduction to Differentiation/Source/2.1.6. The Sum and Constant Multiple Rules for Differentiation,53,53,49
332,CAB.2.1.7,2.1.7,Calculating the Slope of a Tangent Line Using Differentiation,2. Differentiation- Definition and Fundamental Properties,2.1. Introduction to Differentiation,2. Differentiation- Definition and Fundamental Properties/2.1. Introduction to Differentiation/Lessons/2.1.7. Calculating the Slope of a Tangent Line Using Differentiation.md,2. Differentiation- Definition and Fundamental Properties/2.1. Introduction to Differentiation/Source/2.1.7. Calculating the Slope of a Tangent Line Using Differentiation,54,54,50
986,CAB.2.1.8,2.1.8,Calculating the Equation of a Tangent Line Using Differentiation,2. Differentiation- Definition and Fundamental Properties,2.1. Introduction to Differentiation,2. Differentiation- Definition and Fundamental Properties/2.1. Introduction to Differentiation/Lessons/2.1.8. Calculating the Equation of a Tangent Line Using Differentiation.md,2. Differentiation- Definition and Fundamental Properties/2.1. Introduction to Differentiation/Source/2.1.8. Calculating the Equation of a Tangent Line Using Differentiation,55,55,51
987,CAB.2.1.9,2.1.9,Calculating the Equation of a Normal Line Using Differentiation,2. Differentiation- Definition and Fundamental Properties,2.1. Introduction to Differentiation,2. Differentiation- Definition and Fundamental Properties/2.1. Introduction to Differentiation/Lessons/2.1.9. Calculating the Equation of a Normal Line Using Differentiation.md,2. Differentiation- Definition and Fundamental Properties/2.1. Introduction to Differentiation/Source/2.1.9. Calculating the Equation of a Normal Line Using Differentiation,56,56,52
1114,CAB.2.2.1,2.2.1,Differentiating Exponential Functions,2. Differentiation- Definition and Fundamental Properties,2.2. Derivatives of Functions and the Rules of Differentiation,2. Differentiation- Definition and Fundamental Properties/2.2. Derivatives of Functions and the Rules of Differentiation/Lessons/2.2.1. Differentiating Exponential Functions.md,2. Differentiation- Definition and Fundamental Properties/2.2. Derivatives of Functions and the Rules of Differentiation/Source/2.2.1. Differentiating Exponential Functions,55,55,53
1116,CAB.2.2.2,2.2.2,Differentiating Logarithmic Functions,2. Differentiation- Definition and Fundamental Properties,2.2. Derivatives of Functions and the Rules of Differentiation,2. Differentiation- Definition and Fundamental Properties/2.2. Derivatives of Functions and the Rules of Differentiation/Lessons/2.2.2. Differentiating Logarithmic Functions.md,2. Differentiation- Definition and Fundamental Properties/2.2. Derivatives of Functions and the Rules of Differentiation/Source/2.2.2. Differentiating Logarithmic Functions,56,56,54
280,CAB.2.2.3,2.2.3,Differentiating Trigonometric Functions,2. Differentiation- Definition and Fundamental Properties,2.2. Derivatives of Functions and the Rules of Differentiation,2. Differentiation- Definition and Fundamental Properties/2.2. Derivatives of Functions and the Rules of Differentiation/Lessons/2.2.3. Differentiating Trigonometric Functions.md,2. Differentiation- Definition and Fundamental Properties/2.2. Derivatives of Functions and the Rules of Differentiation/Source/2.2.3. Differentiating Trigonometric Functions,56,56,55
281,CAB.2.2.4,2.2.4,Second and Higher-Order Derivatives,2. Differentiation- Definition and Fundamental Properties,2.2. Derivatives of Functions and the Rules of Differentiation,2. Differentiation- Definition and Fundamental Properties/2.2. Derivatives of Functions and the Rules of Differentiation/Lessons/2.2.4. Second and Higher-Order Derivatives.md,2. Differentiation- Definition and Fundamental Properties/2.2. Derivatives of Functions and the Rules of Differentiation/Source/2.2.4. Second and Higher-Order Derivatives,57,57,56
1109,CAB.2.2.5,2.2.5,The Product Rule for Differentiation,2. Differentiation- Definition and Fundamental Properties,2.2. Derivatives of Functions and the Rules of Differentiation,2. Differentiation- Definition and Fundamental Properties/2.2. Derivatives of Functions and the Rules of Differentiation/Lessons/2.2.5. The Product Rule for Differentiation.md,2. Differentiation- Definition and Fundamental Properties/2.2. Derivatives of Functions and the Rules of Differentiation/Source/2.2.5. The Product Rule for Differentiation,57,57,57
1110,CAB.2.2.6,2.2.6,The Quotient Rule for Differentiation,2. Differentiation- Definition and Fundamental Properties,2.2. Derivatives of Functions and the Rules of Differentiation,2. Differentiation- Definition and Fundamental Properties/2.2. Derivatives of Functions and the Rules of Differentiation/Lessons/2.2.6. The Quotient Rule for Differentiation.md,2. Differentiation- Definition and Fundamental Properties/2.2. Derivatives of Functions and the Rules of Differentiation/Source/2.2.6. The Quotient Rule for Differentiation,58,58,58
1686,CAB.2.2.7,2.2.7,Differentiating Reciprocal Trigonometric Functions,2. Differentiation- Definition and Fundamental Properties,2.2. Derivatives of Functions and the Rules of Differentiation,2. Differentiation- Definition and Fundamental Properties/2.2. Derivatives of Functions and the Rules of Differentiation/Lessons/2.2.7. Differentiating Reciprocal Trigonometric Functions.md,2. Differentiation- Definition and Fundamental Properties/2.2. Derivatives of Functions and the Rules of Differentiation/Source/2.2.7. Differentiating Reciprocal Trigonometric Functions,59,59,59
1249,CAB.2.2.8,2.2.8,Calculating Derivatives From Data and Tables,2. Differentiation- Definition and Fundamental Properties,2.2. Derivatives of Functions and the Rules of Differentiation,2. Differentiation- Definition and Fundamental Properties/2.2. Derivatives of Functions and the Rules of Differentiation/Lessons/2.2.8. Calculating Derivatives From Data and Tables.md,2. Differentiation- Definition and Fundamental Properties/2.2. Derivatives of Functions and the Rules of Differentiation/Source/2.2.8. Calculating Derivatives From Data and Tables,59,59,60
1117,CAB.2.2.9,2.2.9,Calculating Derivatives From Graphs,2. Differentiation- Definition and Fundamental Properties,2.2. Derivatives of Functions and the Rules of Differentiation,2. Differentiation- Definition and Fundamental Properties/2.2. Derivatives of Functions and the Rules of Differentiation/Lessons/2.2.9. Calculating Derivatives From Graphs.md,2. Differentiation- Definition and Fundamental Properties/2.2. Derivatives of Functions and the Rules of Differentiation/Source/2.2.9. Calculating Derivatives From Graphs,60,60,61
637,CAB.2.2.10,2.2.10,Recognizing Derivatives in Limits,2. Differentiation- Definition and Fundamental Properties,2.2. Derivatives of Functions and the Rules of Differentiation,2. Differentiation- Definition and Fundamental Properties/2.2. Derivatives of Functions and the Rules of Differentiation/Lessons/2.2.10. Recognizing Derivatives in Limits.md,2. Differentiation- Definition and Fundamental Properties/2.2. Derivatives of Functions and the Rules of Differentiation/Source/2.2.10. Recognizing Derivatives in Limits,61,61,62
1108,CAB.3.1.1,3.1.1,The Chain Rule for Differentiation,"3. Differentiation- Composite, Implicit, and Inverse Functions",3.1. Differentiating Composite Functions,"3. Differentiation- Composite, Implicit, and Inverse Functions/3.1. Differentiating Composite Functions/Lessons/3.1.1. The Chain Rule for Differentiation.md","3. Differentiation- Composite, Implicit, and Inverse Functions/3.1. Differentiating Composite Functions/Source/3.1.1. The Chain Rule for Differentiation",56,56,63
1007,CAB.3.1.2,3.1.2,The Chain Rule With Exponential Functions,"3. Differentiation- Composite, Implicit, and Inverse Functions",3.1. Differentiating Composite Functions,"3. Differentiation- Composite, Implicit, and Inverse Functions/3.1. Differentiating Composite Functions/Lessons/3.1.2. The Chain Rule With Exponential Functions.md","3. Differentiation- Composite, Implicit, and Inverse Functions/3.1. Differentiating Composite Functions/Source/3.1.2. The Chain Rule With Exponential Functions",57,57,64
1036,CAB.3.1.3,3.1.3,The Chain Rule With Logarithmic Functions,"3. Differentiation- Composite, Implicit, and Inverse Functions",3.1. Differentiating Composite Functions,"3. Differentiation- Composite, Implicit, and Inverse Functions/3.1. Differentiating Composite Functions/Lessons/3.1.3. The Chain Rule With Logarithmic Functions.md","3. Differentiation- Composite, Implicit, and Inverse Functions/3.1. Differentiating Composite Functions/Source/3.1.3. The Chain Rule With Logarithmic Functions",57,57,65
305,CAB.3.1.4,3.1.4,The Chain Rule With Trigonometric Functions,"3. Differentiation- Composite, Implicit, and Inverse Functions",3.1. Differentiating Composite Functions,"3. Differentiation- Composite, Implicit, and Inverse Functions/3.1. Differentiating Composite Functions/Lessons/3.1.4. The Chain Rule With Trigonometric Functions.md","3. Differentiation- Composite, Implicit, and Inverse Functions/3.1. Differentiating Composite Functions/Source/3.1.4. The Chain Rule With Trigonometric Functions",60,60,66
1282,CAB.3.1.5,3.1.5,Calculating Derivatives From Data Using the Chain Rule,"3. Differentiation- Composite, Implicit, and Inverse Functions",3.1. Differentiating Composite Functions,"3. Differentiation- Composite, Implicit, and Inverse Functions/3.1. Differentiating Composite Functions/Lessons/3.1.5. Calculating Derivatives From Data Using the Chain Rule.md","3. Differentiation- Composite, Implicit, and Inverse Functions/3.1. Differentiating Composite Functions/Source/3.1.5. Calculating Derivatives From Data Using the Chain Rule",61,61,67
4057,CAB.3.1.6,3.1.6,Calculating Derivatives From Graphs Using the Chain Rule,"3. Differentiation- Composite, Implicit, and Inverse Functions",3.1. Differentiating Composite Functions,"3. Differentiation- Composite, Implicit, and Inverse Functions/3.1. Differentiating Composite Functions/Lessons/3.1.6. Calculating Derivatives From Graphs Using the Chain Rule.md","3. Differentiation- Composite, Implicit, and Inverse Functions/3.1. Differentiating Composite Functions/Source/3.1.6. Calculating Derivatives From Graphs Using the Chain Rule",62,62,68
1115,CAB.3.1.7,3.1.7,Selecting Procedures for Calculating Derivatives,"3. Differentiation- Composite, Implicit, and Inverse Functions",3.1. Differentiating Composite Functions,"3. Differentiation- Composite, Implicit, and Inverse Functions/3.1. Differentiating Composite Functions/Lessons/3.1.7. Selecting Procedures for Calculating Derivatives.md","3. Differentiation- Composite, Implicit, and Inverse Functions/3.1. Differentiating Composite Functions/Source/3.1.7. Selecting Procedures for Calculating Derivatives",61,61,69
57,CAB.3.2.1,3.2.1,Implicit Differentiation,"3. Differentiation- Composite, Implicit, and Inverse Functions",3.2. Differentiating Implicit and Inverse Functions,"3. Differentiation- Composite, Implicit, and Inverse Functions/3.2. Differentiating Implicit and Inverse Functions/Lessons/3.2.1. Implicit Differentiation.md","3. Differentiation- Composite, Implicit, and Inverse Functions/3.2. Differentiating Implicit and Inverse Functions/Source/3.2.1. Implicit Differentiation",62,62,70
1784,CAB.3.2.2,3.2.2,Calculating dy/dx Using dx/dy,"3. Differentiation- Composite, Implicit, and Inverse Functions",3.2. Differentiating Implicit and Inverse Functions,"3. Differentiation- Composite, Implicit, and Inverse Functions/3.2. Differentiating Implicit and Inverse Functions/Lessons/3.2.2. Calculating dy-dx Using dx-dy.md","3. Differentiation- Composite, Implicit, and Inverse Functions/3.2. Differentiating Implicit and Inverse Functions/Source/3.2.2. Calculating dy-dx Using dx-dy",56,56,71
